Tool	Platform	Citations	MainCategories	SubCategories	Description	DOI	Journal	Status	Code	Added	Updated	Maintained	Methodology	Omics	Date	License	Activity	Responsiveness	DateSort	Stars	Abstract	Dependency	Baseline	Title	Methscore	Sequencingscore	Reviewscore	Preprint	Dataset	Reference	Tissue
Albanus2022	None	0	differential feature analysis, sequencing technology & application	sequencing application, differential feature analysis	A multi-omic integrative study of single-cell/nucleus molecular profiles of gene expression and chromatin accessibility in the same biological samples from healthy and beta-cell autoantibody+ (AAB+) human pancreatic islets to characterize mechanisms of islet-mediated T1D genetic risk.	10.1101/2022.11.12.516291	Preprint	Preprint	http://github.com/ParkerLab/albanus_2020_nih_islets_sn_t1d	2022.12.06	2022.12.06		not applicable	CAS	2022.11.12	None			2		Type 1 diabetes (T1D) is a complex autoimmune disease characterized by the loss of pancreatic islet beta cells. The mechanisms of T1D genetic risk remain poorly understood. Here, we present a multi-omic integrative study of single-cell/nucleus molecular profiles of gene expression and chromatin accessibility in the same biological samples from healthy and beta-cell autoantibody+ (AAB+) human pancreatic islets to characterize mechanisms of islet-mediated T1D genetic risk. We additionally performed single-cell/nucleus multi-omic profiling of healthy islets under two stimulatory conditions used as in vitro models of T1D (cytokine cocktail and CVB4 infection) to evaluate how environmental exposures recapitulate multi-omic signatures of T1D. In total, we analyzed 121,272 cells/nuclei across 34 libraries, identifying 10 distinct cell types. We identified cell-type-specific and disease-associated cis-regulatory elements and nominated likely target genes. We provide evidence that T1D genetic risk is mediated through multiple pancreatic cell populations, including islet endocrine cells (beta, alpha, gamma, and delta), exocrine acinar and ductal cells, and immune cells. Finally, we identified three independent T1D risk variants acting through pancreatic islet endocrine cells at the TOX, RASGRP1, and DLK1/MEG3 loci. Together, this work improves our understanding of how non-coding genetic variants encode T1D risk through a complex interplay of different cell types in the pancreas.	Not Applicable	None	Single-cell gene expression and chromatin accessibility profiling of human pancreatic islets at basal and stimulatory conditions nominates mechanisms of type 1 diabetes genetic risk	1.98985589	2.919807854	3.579711781	10.1101/2022.11.12.516291	1	Albanus RD, Tang X, Taylor HJ, Manickam N, Erdos M, Narisu N, Han Y, Orchard P, Varshney A, Liu C, Naji A. Single-cell gene expression and chromatin accessibility profiling of human pancreatic islets at basal and stimulatory conditions nominates mechanisms of type 1 diabetes genetic risk. bioRxiv. 2022 Jan 1.	None
MoClust	Python	0	clustering, dimensionality reduction, other, multi-omics integration	dimensionality reduction, clustering, multi-omics integration (scRNA-seq, scATAC-seq), multiplet detection	A novel joint clustering framework that can be applied to several types of single-cell multi-omics data.	10.1093/bioinformatics/btac736	Bioinformatics	Published	https://zenodo.org/record/7306504	2022.12.06	2022.12.06	2022.11.09	autoencoder, contrastive learning	CAS,Meth	2022.11.16	CC BY 3.0 US			2		Motivation Single-cell multi-omics sequencing techniques have rapidly developed in the past few years. Clustering analysis with single-cell multi-omics data may give us novel perspectives to dissect cellular heterogeneity. However, multi-omics data have the properties of inherited large dimension, high sparsity and existence of doublets. Moreover, representations of different omics from even the same cell follow diverse distributions. Without proper distribution alignment techniques, clustering methods will encounter less separable clusters easily affected by less informative omics data. Results We developed MoClust, a novel joint clustering framework that can be applied to several types of single-cell multi-omics data. A selective automatic doublet detection module that can identify and filter out doublets is introduced in the pretraining stage to improve data quality. Omics-specific autoencoders are introduced to characterize the multi-omics data. A contrastive learning way of distribution alignment is adopted to adaptively fuse omics representations into an omics-invariant representation. This novel way of alignment boosts the compactness and separableness of clusters, while accurately weighting the contribution of each omics to the clustering object. Extensive experiments, over both simulated and real multi-omics datasets, demonstrated the powerful alignment, doublet detection and clustering ability features of MoClust. Availability and implementation: An implementation of MoClust is available from https://doi.org/10.5281/zenodo.7306504.	numpy, pandas, pydantic, scanpy, scikit-learn, scipy, seaborn, tabulate, torch, typing	Seurat, MOFA+, scAI, cobolt, scMVAE, DCCA, MultiVI, Liger, Harmony, UnionCom	Clustering single-cell multi-omics data with MoClust	8.910013144	6.06188558	10.92919776	None	3	Yuan M, Chen L, Deng M. Clustering single-cell multi-omics data with MoClust. Bioinformatics. 2022 Nov 16.	None
scAWMV	Matlab, Python	0	dimensionality reduction, multi-omics integration	dimensionality reduction, multi-omics integration (scRNA-seq, scATAC-seq)	An adaptively weighted multi-view learning method for the integrative analysis of parallel scRNA-seq and scATAC-seq data profiled from the same cell.	10.1093/bioinformatics/btac739	Bioinformatics	Published	https://github.com/pengchengzeng/scAWMV	2022.12.06	2022.12.06	2022.05.22	non-negative matrix factorization, multi-view learning	CAS	2022.11.16	None	0		2	3	Motivation Technological advances have enabled us to profile single-cell multi-omics data from the same cells, providing us with an unprecedented opportunity to understand the cellular phenotype and links to its genotype. The available protocols and multi-omics datasets [including parallel single-cell RNA sequencing (scRNA-seq) and single-cell ATAC sequencing (scATAC-seq) data profiled from the same cell] are growing increasingly. However, such data are highly sparse and tend to have high level of noise, making data analysis challenging. The methods that integrate the multi-omics data can potentially improve the capacity of revealing the cellular heterogeneity. Results We propose an adaptively weighted multi-view learning (scAWMV) method for the integrative analysis of parallel scRNA-seq and scATAC-seq data profiled from the same cell. scAWMV considers both the difference in importance across different modalities in multi-omics data and the biological connection of the features in the scRNA-seq and scATAC-seq data. It generates biologically meaningful low-dimensional representations for the transcriptomic and epigenomic profiles via unsupervised learning. Application to four real datasets demonstrates that our framework scAWMV is an efficient method to dissect cellular heterogeneity for single-cell multi-omics data. Availability and implementation: The software and datasets are available at https://github.com/pengchengzeng/scAWMV.	hdf5storage, igraph, louvain, numpy, pandas, scanpy, scikit-learn, scipy	scAI, MOFA+, Seurat, multi-NMF	scAWMV: an Adaptively Weighted Multi-view Learning Framework for the Integrative Analysis of Parallel scRNA-seq and scATAC-seq Data	9.541378577	7.969726939	7.93703912	None	4	Zeng P, Ma Y, Lin Z. scAWMV: an Adaptively Weighted Multi-view Learning Framework for the Integrative Analysis of Parallel scRNA-seq and scATAC-seq Data. Bioinformatics. 2022 Nov 16.	None
MatchCLOT	Python	0	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq)	A novel method for single-cell data integration based on ideas borrowed from contrastive learning, optimal transport, and transductive learning.	10.1101/2022.11.16.516751	Preprint	Preprint	https://github.com/AI4SCR/MatchCLOT	2022.12.06	2022.12.06	2022.11.29	contrastive learning, optimal transport	CAS	2022.11.16	None	0		2	1	Recent advances in single-cell technologies have enabled the simultaneous quantification of multiple biomolecules in the same cell, opening new avenues for understanding cellular complexity and heterogeneity. However, the resulting multimodal single-cell datasets present unique challenges arising from the high dimensionality of the data and the multiple sources of acquisition noise. In this work, we propose MatchCLOT, a novel method for single-cell data integration based on ideas borrowed from contrastive learning, optimal transport, and transductive learning. In particular, we use contrastive learning to learn a common representation between two modalities and apply entropic optimal transport as an approximate maximum weight bipartite matching algorithm. Our model obtains state-of-the-art performance in the modality matching task from the NeurIPS 2021 multimodal single-cell data integration challenge, improving the previous best competition score by 28.9%. Our code can be accessed at https://github.com/AI4SCR/MatchCLOT.	POT, anndata, catalyst, harmony-pytorch, networkx, numpy, pandas, scanpy, scikit-learn, scipy, tensorboard, torch	scMoGNN	MatchCLOT: Single-Cell Modality Matching with Contrastive Learning and Optimal Transport	5.587928475	4.181364413	4.848676594	10.1101/2022.11.16.516751	1	Gossi F, Pati P, Martinelli AL, Rapsomaniki MA. MatchCLOT: Single-Cell Modality Matching with Contrastive Learning and Optimal Transport. bioRxiv. 2022 Jan 1.	None
scFates	Python	3	other	trajectory analysis	A python package to streamline the whole process of pseudotime analysis, with flexible tree learning options, advanced feature extraction tasks and specific functions focused on bifurcation analysis.	10.1093/bioinformatics/btac746	Bioinformatics	Published	https://github.com/LouisFaure/scFates/	2022.12.06	2022.12.06	2022.11.29	simpleppt, eipigraph	CAS	2022.11.17	BSD 3-Clause	0.5263281346339610	29.56543402777780	2	21	Summary: scFates provides an extensive toolset for the analysis of dynamic trajectories comprising tree learning, feature association testing, branch differential expression and with a focus on cell biasing and fate splits at the level of bifurcations. It is meant to be fully integrated into the scanpy ecosystem for seamless analysis of trajectories from single-cell data of various modalities (e.g. RNA and ATAC). Availability and implementation: scFates is released as open-source software under the BSD 3-Clause ‘New’ License and is available from the Python Package Index at https://pypi.org/project/scFates/. The source code is available on GitHub at https://github.com/LouisFaure/scFates/. Code reproduction and tutorials on published datasets are available on GitHub at https://github.com/LouisFaure/scFates_notebooks.	adjustText, anndata, cycler, elpigraph-python, igraph, joblib, leidenalg, matplotlib, networkx, plotly, python-igraph, scanpy, scikit-misc, seaborn, simpleppt, statsmodels, tqdm, typing_extensions	None	scFates: a scalable python package for advanced pseudotime and bifurcation analysis from single cell data	46.25945169	24.08626417	8.178839498	10.1101/2022.07.09.498657		Faure L, Soldatov R, Kharchenko PV, Adameyko I. scFates: a scalable python package for advanced pseudotime and bifurcation analysis from single cell data. Bioinformatics. 2022 Nov 17.	None
Zhen2022	None	0	review	review (clustering)	An in-depth benchmark study of available single-cell Hi-C data clustering methods to implement an evaluation system for multiple clustering frameworks based on both human and mouse datasets.	10.1093/bib/bbac385	Briefings in Bioinformatics	Published		2022.12.06	2022.12.06		not applicable	CIS	2022.09.23	None			2		The three-dimensional genome structure plays a key role in cellular function and gene regulation. Single-cell Hi-C (high-resolution chromosome conformation capture) technology can capture genome structure information at the cell level, which provides the opportunity to study how genome structure varies among different cell types. Recently, a few methods are well designed for single-cell Hi-C clustering. In this manuscript, we perform an in-depth benchmark study of available single-cell Hi-C data clustering methods to implement an evaluation system for multiple clustering frameworks based on both human and mouse datasets. We compare eight methods in terms of visualization and clustering performance. Performance is evaluated using four benchmark metrics including adjusted rand index, normalized mutual information, homogeneity and Fowlkes–Mallows index. Furthermore, we also evaluate the eight methods for the task of separating cells at different stages of the cell cycle based on single-cell Hi-C data.	Not Applicable	Decay, scHiCluster, MRscHiC, Higashi, PCA, NMF, FastICA, SVD	A review and performance evaluation of clustering frameworks for single-cell Hi-C data	7.077447855	7.569930474	10.15489571	None	6	Zhen C, Wang Y, Geng J, Han L, Li J, Peng J, Wang T, Hao J, Shang X, Wei Z, Zhu P. A review and performance evaluation of clustering frameworks for single-cell Hi-C data. Briefings in Bioinformatics. 2022 Nov;23(6):bbac385.	None
SCARP	Python	0	dimensionality reduction, regulatory network inference	dimensionality reduction, regulatory network inference (peak-peak)	A novel network diffusion-based method to comprehensively analyze scATAC-seq data.	10.1101/2022.11.18.517159	Preprint	Preprint	https://github.com/Wu-Lab/SCARP	2022.12.06	2022.12.06	2022.09.04	network refinement diffusion method	CAS	2022.11.18	None	0		2	0	Single-cell ATAC-seq (scATAC-seq) data provided new insights into the elaboration of cellular heterogeneity and transcriptional regulation. However, scATAC-seq data posed challenges for data analysis because of its near binarization, high sparsity, and ultra-high dimensionality properties. Here we proposed a novel network diffusion-based method to comprehensively analyze scATAC-seq data, named Single-Cell ATAC-seq Analysis via Network Refinement with Peaks Location Information (SCARP). By modeling the prior probability of co-accessibility between adjacent peaks as a decreasing function of genomic distance, SCARP is the first scATAC-seq analysis method that utilizes the genomic information of peaks, which contributed to characterizing co-accessibility of peaks. SCARP used network to model the accessible relationships between cells and peaks, aggregated information with the diffusion method, and then performed dimensionality reduction to obtain low-dimensional cell embeddings as well as peak embeddings. We have demonstrated through sufficient experiments that SCARP facilitated superior analysis of scATAC-seq data. Specifically, SCARP exhibited outstanding cell clustering performance to better elucidate cell heterogeneity, and can be used to reveal new biologically significant cell subpopulations. SCARP was also instrumental in portraying co-accessibility relationships of accessible regions and providing new insight into transcriptional regulation, and those SCARP-derived genes were involved in some key KEGG pathways related to diseases. To sum up, our studies suggested that SCARP is a promising tool to comprehensively analyze the scATAC-seq data from a new perspective.	Deprecated, Jinja2, MarkupSafe, Pillow, PyGSP, PyMySQL, PyYAML, Pygments, QtPy, Send2Trash, WMI, anndata, argon2-cffi, argon2-cffi-bindings, asttokens, attrs, autopep8, backcall, backports.functools-lru-cache, beautifulsoup4, bleach, certifi, cffi, charset-normalizer, clr, colorama, colorzero, cycler, debugpy, decorator, defusedxml, dill, entrypoints, enum34, executing, fastjsonschema, fonttools, future, gpiozero, graphtools, h5py, idna, igraph, importlib-resources, ipykernel, ipython, ipython-genutils, ipywidgets, jedi, joblib, jsonschema, jupyter, jupyter-client, jupyter-console, jupyter-contrib-core, jupyter-contrib-nbextensions, jupyter-core, jupyter-highlight-selected-word, jupyter-latex-envs, jupyter-nbextensions-configurator, jupyterlab-pygments, jupyterlab-widgets, kiwisolver, leidenalg, llvmlite, louvain, lxml, magic-impute, matplotlib, matplotlib-inline, matplotlib-venn, mistune, mpmath, natsort, nbclient, nbconvert, nbformat, nest-asyncio, netifaces, networkx, notebook, numba, numpy, packaging, pandas, pandocfilters, parso, patsy, pickleshare, powerlaw, prometheus-client, prompt-toolkit, psutil, pure-eval, pycodestyle, pycparser, pynndescent, pyparsing, pyrsistent, pyspectator, python-dateutil, pytz, pyvalid, pywin32, pywinpty, pyzmq, qtconsole, requests, scanpy, scikit-learn, scipy, scprep, seaborn, session-info, six, soupsieve, stack-data, statannotations, statsmodels, stdlib-list, tasklogger, terminado, texttable, threadpoolctl, tinycss2, toml, tornado, tqdm, traitlets, umap-learn, urllib3, wcwidth, webencodings, wget, widgetsnbextension, wincertstore, wrapt, zipp	DCA, MAGIC, PCA, cisTopic, scAND	Single-Cell ATAC-seq analysis via Network Refinement with peaks location information	9.131728408	10.32350506	10.29462688	10.1101/2022.11.18.517159	9	Yu J, Sun D, Hou Z, Wu LY. Single-Cell ATAC-seq analysis via Network Refinement with peaks location information. bioRxiv. 2022 Jan 1.	None
SCOOTR	Python	0	regulatory network inference, multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq, snmC-seq, protein), regulatory network inference (gene-peak)	A co-optimal transport-based method and jointly aligns both cells and genomic features of unpaired single-cell multi-omic datasets.	10.1101/2022.11.09.515883	Preprint	Preprint	https://github.com/rsinghlab/SCOOTR	2022.12.07	2022.12.07	2022.11.20	co-optimal transport	CAS,Meth	2022.11.09	None	0		2	0	The availability of various single-cell sequencing technologies allows one to jointly study multiple genomic features and understand how they interact to regulate cells. Although there are experimental challenges to simultaneously profile multiple features on the same single cell, recent computational methods can align the cells from unpaired multi-omic datasets. However, studying regulation also requires us to map the genomic features across different measurements. Unfortunately, most single-cell multi-omic alignment tools cannot perform these alignments or need prior knowledge. We introduce SCOOTR, a co-optimal transport-based method, which jointly aligns both cells and genomic features of unpaired single-cell multi-omic datasets. We apply SCOOTR to various single-cell multi-omic datasets with different types of measurements. Our results show that SCOOTR provides quality alignments for unsupervised celllevel and feature-level integration of datasets with sparse feature correspondences (e.g., one-to-one mappings). For datasets with dense feature correspondences (e.g., many-to-many mappings), our joint framework allows us to provide supervision on one level (e.g., cell types), thus improving alignment performance on the other (e.g., genomic features) or vice-versa. The unique joint alignment framework makes SCOOTR a helpful hypothesis-generation tool for the integrative study of unpaired single-cell multi-omic datasets.	numpy, ot, pandas, scikit-learn	MMD-MA, UnionCom, SCOT, Pamona, bindSC	Jointly aligning cells and genomic features of single-cell multi-omics data with co-optimal transport	8.531794529	8.746547591	9.501070027	10.1101/2022.11.09.515883	7	Demetci P, Tran QH, Redko I, Singh R. Jointly aligning cells and genomic features of single-cell multi-omics data with co-optimal transport. bioRxiv. 2022 Jan 1.	None
scMoGNN	Python, Shell	8	multi-omics integration, cross-omics translation	cross-omics translation (scRNA-seq, scATAC-seq, protein), multi-omics integration (scRNA-seq, scATAC-seq, protein)	A general Graph Neural Network framework to tackle multimodal single-cell data analyses tasks including Modality prediction, Modality matching andJoint embedding.	10.1145/3534678.3539213	KDD	Published	https://github.com/OmicsML/dance	2022.12.07	2022.12.07	2022.11.28	graph neural network	CAS	2022.08.14	BSD 2-Clause	0.8828866009036570	28.24452546296300	2	133	Recent advances in multimodal single-cell technologies have enabled simultaneous acquisitions of multiple omics data from the same cell, providing deeper insights into cellular states and dynamics. However, it is challenging to learn the joint representations from the multimodal data, model the relationship between modalities, and, more importantly, incorporate the vast amount of single-modality datasets into the downstream analyses. To address these challenges and correspondingly facilitate multimodal single-cell data analyses, three key tasks have been introduced: Modality prediction, Modality matching andJoint embedding. In this work, we present a general Graph Neural Network framework scMoGNN to tackle these three tasks and show that scMoGNN demonstrates superior results in all three tasks compared with the state-of-the-art and conventional approaches. Our method is an official winner in the overall ranking ofModality prediction from NeurIPS 2021 Competition (https://openproblems.bio/neurips_2021/), and all implementations of our methods have been integrated into DANCE package (https://github.com/OmicsML/dance).	h5py, leidenalg, networkx, numba, numpy, opencv-python, openpyxl, pandas, pyro-ppl, python-igraph, rdata, requests, scanpy, scikit-learn, scikit-misc, scipy, skorch, statsmodels, tables, torchnmf, torchvision, tqdm	Cajal, scJoint, SVD+LR, kernel ridge regression, GLUE, PCA, FNN, JAE	Graph Neural Networks for Multimodal Single-Cell Data Integration	153.2112025	91.30189079	24.5299832	None	4	Wen H, Ding J, Jin W, Wang Y, Xie Y, Tang J. Graph neural networks for multimodal single-cell data integration. InProceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining 2022 Aug 14 (pp. 4153-4163).	None
Rautenstrauch2021	None	9	review	review (multi-omics integration)	Identifying cell-to-cell correspondences between unpaired datasets from different single cell protocols promises to provide a more comprehensive view of cellular states.	10.1016/j.tig.2021.08.012	Trends in Genetics	Published		2022.12.07	2022.12.07		not applicable	CAS	2021.09.21	None			3		A wealth of single-cell protocols makes it possible to characterize different molecular layers at unprecedented resolution. Integrating the resulting multimodal single-cell data to find cell-to-cell correspondences remains a challenge. We argue that data integration needs to happen at a meaningful biological level of abstraction and that it is necessary to consider the inherent discrepancies between modalities to strike a balance between biological discovery and noise removal. A survey of current methods reveals that a distinction between technical and biological origins of presumed unwanted variation between datasets is not yet commonly considered. The increasing availability of paired multimodal data will aid the development of improved methods by providing a ground truth on cell-to-cell matches.	Not Applicable	bindSC, Conos, coupleCoC+, coupledNMF, CSS, Cross-modal autoencoders, DC3, GLUER, Gradient-boosted regression, Harmonic alignment, Liger, MAGAN, MATCHER, MMD-MA, MultiMAP, Pamona, PC mapping, scACE, scAMACE, SCIM, scJoint, SCOT, Seurat, SingleCellFusion, SOMatic, UINMF, UnionCom	Intricacies of single-cell multi-omics data integration	11.96983984	4.393119781	18.73967967	None		Rautenstrauch P, Vlot AH, Saran S, Ohler U. Intricacies of single-cell multi-omics data integration. Trends in Genetics. 2021 Sep 21.	None
Ingelfinger2022	None	0	review	review (sequencing technology), review (sequencing application)	An overview of technical advances in single-cell multiomics and the tremendous impact on our basic understanding of neuroinflammation.	10.1016/j.coi.2022.102180	Current Opinion in Immunology	Published		2022.12.07	2022.12.07		not applicable	CAS,Meth	2022.06.01	None			2		The central nervous system (CNS) is, more than other organs, particularly vulnerable to inflammation and immune responses must be tightly controlled in order to maintain host protection. Accordingly, neuroinflammation is an orchestrated process involving various cell types that may dramatically change their phenotypic and functional properties upon entering the CNS. Recent advances in single-cell multiomics offer the unique opportunity to resolve this cellular heterogeneity in a holistic fashion and reshape our understanding of the molecular and cellular processes during neuroinflammation. Here, we provide an overview of technical advances in single-cell multiomics and the tremendous impact on our basic understanding of neuroinflammation. We discuss insights obtained in neuroinflammatory diseases and elaborate to which extent these tool sets could be applied in a clinical setting.	Not Applicable	None	Single-cell multiomics in neuroinflammation	1.316061568	1.754748757	2.632123136	None		Ingelfinger F, Beltrán E, Gerdes LA, Becher B. Single-cell multiomics in neuroinflammation. Current Opinion in Immunology. 2022 Jun 1;76:102180.	None
Brombacher2022	Python, R	1	review	review (multi-omics integration)	A systematic overview of current DGM-based approaches for learning joint embeddings from multi-omics data and illustrates how small sample sizes impact the amount of information that can be recovered from multi-omics datasets.	10.3389/fmolb.2022.962644	Frontiers in Molecular Biosciences	Published	https://github.com/MTreppner/multiomics_dgms	2022.12.07	2022.12.07	2022.09.23	not applicable	CAS,CIS,Meth	2022.10.26	MIT	0		2	4	Recent extensions of single-cell studies to multiple data modalities raise new questions regarding experimental design. For example, the challenge of sparsity in single-omics data might be partly resolved by compensating for missing information across modalities. In particular, deep learning approaches, such as deep generative models (DGMs), can potentially uncover complex patterns via a joint embedding. Yet, this also raises the question of sample size requirements for identifying such patterns from single-cell multi-omics data. Here, we empirically examine the quality of DGM-based integrations for varying sample sizes. We first review the existing literature and give a short overview of deep learning methods for multi-omics integration. Next, we consider eight popular tools in more detail and examine their robustness to different cell numbers, covering two of the most common multi-omics types currently favored. Specifically, we use data featuring simultaneous gene expression measurements at the RNA level and protein abundance measurements for cell surface proteins (CITE-seq), as well as data where chromatin accessibility and RNA expression are measured in thousands of cells (10x Multiome). We examine the ability of the methods to learn joint embeddings based on biological and technical metrics. Finally, we provide recommendations for the design of multi-omics experiments and discuss potential future developments.	Not Applicable	Cobolt, scMM, totalVI, SCALEX, MultiVI, scMVP, DAVAE, Portal	The performance of deep generative models for learning joint embeddings of single-cell multi-omics data	11.13172585	6.615013783	9.276279365	10.1101/2022.06.06.494951	1	Brombacher E, Hackenberg M, Kreutz C, Binder H, Treppner M. The performance of deep generative models for learning joint embeddings of single-cell multi-omics data. Frontiers in molecular biosciences. 2022:1192.	None
Scomatic	Python, R	0	other	single nucleotide variants detection	An algorithm designed for the detection of somatic mutations in single-cell transcriptomic and ATAC-seq data sets without requiring matched bulk or single-cell DNA sequencing data.	10.1101/2022.11.22.517567	Preprint	Preprint	https://github.com/cortes-ciriano-lab/SComatic	2022.12.07	2022.12.07	2022.12.01	not applicable	CAS	2022.11.22	None	0.8846065812979310	29.43980902777780	2	19	Characterization of somatic mutations at single-cell resolution is essential to study cancer evolution, clonal mosaicism, and cell plasticity. However, detection of mutations in single cells remains technically challenging. Here, we describe SComatic, an algorithm designed for the detection of somatic mutations in single-cell transcriptomic and ATAC-seq data sets without requiring matched bulk or single-cell DNA sequencing data. Using >1.5M single cells from 383 single-cell RNAseq and single-cell ATAC-seq data sets spanning cancer and non-neoplastic samples, we show that SComatic detects mutations in single cells, even in differentiated cells from polyclonal tissues not amenable to mutation detection using existing methods. In addition, SComatic permits the estimation of mutational burdens and de novo mutational signature analysis at single-cell and cell-type resolution. Notably, using matched exome and single-cell RNAseq data, we show that SComatic achieves a 20 to 40-fold increase in precision as compared to existing algorithms for somatic SNV calling without compromising sensitivity. Overall, SComatic opens the possibility to study somatic mutagenesis at unprecedented resolution using high-throughput single-cell profiling data sets.	VGAM, about-time, numpy, numpy-groupies, pandas, pybedtools, pysam, rpy2, scipy	VarScan2, Samtools, Strelka2	Accurate de novo detection of somatic mutations in high-throughput single-cell profiling data sets	70.52712707	75.42897606	35.89711413	10.1101/2022.11.22.517567	66	Muyas F, Li R, Rahbari R, Mitchell TJ, Hormoz S, Cortes-Ciriano I. Accurate de novo detection of somatic mutations in high-throughput single-cell profiling data sets. bioRxiv. 2022 Jan 1.	None
Liang2022	R, Python, Shell	1	sequencing technology & application	sequencing application	We generated and integrated a multi-omics single-cell atlas of the adult human retina, including over 250K nuclei for single-nuclei RNA-seq and 137K nuclei for single-nuclei ATAC-seq.	10.1101/2022.11.21.517389	Preprint	Preprint	https://github.com/qingnanl/human-retina-multiomics	2022.12.07	2022.12.07	2022.12.02	not applicable	CAS	2022.11.21	None	0		2	0	Cell classes in the human retina are highly heterogeneous with their abundance varying by several orders of magnitude. Although previous studies reported the profiles of the retinal cell types as the transcriptome level, there is no study regarding the open-chromatin profiles at a similar resolution. Here, we generated and integrated a multi-omics single-cell atlas of the adult human retina, including over 250K nuclei for single-nuclei RNA-seq and 137K nuclei for single-nuclei ATAC-seq. Through enrichment of rare cell types, this single cell multiome atlas is more comprehensive than previous human retina studies. Cross species comparison of the retina atlas among human, monkey, mice, and chicken revealed relatively conserved and non-conserved types. Interestingly, the overall cell heterogeneity in primate retina decreases compared to that of rodent and chicken retina. Furthermore, integrative analysis of the single cell multi-omics data identified 35k distal cis-element-gene pairs with most of these cis-elements being cell type specific. We also showed that the cis-element-gene relationship in different cell types within the same class could be highly heterogenous. Moreover, we constructed transcription factor (TF)-target regulons for over 200 TFs, partitioned the TFs into distinct co-active modules, and annotated each module based on their cell-type specificity. Taken together, we present the most comprehensive single-cell multi-omics atlas of the human retina as a valuable resource that enables systematic in-depth molecular characterization at individual cell type resolution.	Not Applicable	None	A multi-omics atlas of the human retina at single-cell resolution	3.830591477	2.764176825	3.871255722	10.1101/2022.11.21.517389		Liang Q, Cheng X, Wang J, Owen L, Shakoor A, Lillvis JL, Zhang C, Farkas M, Kim I, Li Y, DeAngelis MM. A multi-omics atlas of the human retina at single-cell resolution. bioRxiv. 2022 Jan 1.	None
SCALA	R, JavaScript, Python	0	cell type annotation, clustering, differential feature analysis, dimensionality reduction, other, preprocessing, regulatory network inference	quality control, dimensionality reduction, clustering, cell type annotation, differential feature analysis, functional enrichment analysis, ligand-receptor analysis, trajectory analysis, regulatory network inference (gene-gene), visualization	A bioinformatics tool for analysis and visualization of single cell RNA sequencing (scRNA-seq) and Assay for Transposase-Accessible Chromatin using sequencing (ATAC-seq) datasets.	10.1101/2022.11.24.517826	Preprint	Preprint	https://github.com/PavlopoulosLab/scAnner	2022.12.07	2022.12.07	2022.02.21	not applicable	CAS	2022.11.24	None	0		2	2	Analysis and interpretation of high-throughput transcriptional and chromatin accessibility data at single cell resolution are still open challenges in the biomedical field. In this article, we present SCALA, a bioinformatics tool for analysis and visualization of single cell RNA sequencing (scRNA-seq) and Assay for Transposase-Accessible Chromatin using sequencing (ATAC-seq) datasets. SCALA combines standard types of analysis by integrating multiple software packages varying from quality control to identification of distinct cell population and cell states. Additional analysis options enable functional enrichment, cellular trajectory inference, ligand-receptor analysis and regulatory network reconstruction. SCALA is fully parameterizable at every step of the analysis, presenting data in tabular format and produces publication-ready 2D and 3D visualizations including heatmaps, barcharts, scatter, violin and volcano plots. We demonstrate the functionality of SCALA through two use-cases related to TNF-driven arthritic mice, handling data from both scRNA-seq and scATAC-seq experiments. SCALA is mainly developed in R, Shiny and JavaScript and is available as a web application at http://scala.pavlopouloslab.info or https://scala.fleming.gr.	AUCell, BSgenome, BSgenome, BSgenome, BSgenome, BiocManager, Cairo, DT, DelayedMatrixStats, DirichletMultinomial, GENIE3, GSEABase, JASPAR2016, JASPAR2018, JASPAR2020, MAST, RColorBrewer, RCurl, RcisTarget, Seurat, SeuratObject, TFBSTools, bsplus, colorspace, devtools, dismo, dittoSeq, dplyr, ggplot2, ggpubr, gprofiler2, hdf5r, heatmaply, igraph, limma, missMDA, mlrMBO, motifmatchr, optparse, pheatmap, plotly, readr, remotes, reticulate, rgl, rhandsontable, shiny, shinyalert, shinycssloaders, shinydashboard, shinyjs, shinythemes, slingshot, stringr, tidyverse, visNetwork	None	SCALA: A web application for multimodal analysis of single cell next generation sequencing data	5.254807437	3.773587429	3.856593933	10.1101/2022.11.24.517826		Tzaferis C, Karatzas E, Baltoumas FA, Pavlopoulos GA, Kollias G, Konstantopoulos D. SCALA: A web application for multimodal analysis of single cell next generation sequencing data. bioRxiv. 2022 Jan 1.	None
